n,A_trap,A_simp,x_trap,x_simp,y_trap,y_simp
2,26.54428854,29.39238472,4.01716797,3.61240352,1.06736793,0.67285103
4,28.28847965,28.86987669,3.70354897,3.60743040,0.88373757,0.82745818
6,28.59844864,28.84863309,3.64986799,3.60771746,0.85237146,0.82773116
8,28.70601976,28.84519979,3.63137174,3.60777701,0.84156816,0.82778299
10,28.75564895,28.84427065,3.62286095,3.60779494,0.83659774,0.82779749
12,28.78256514,28.84393731,3.61825109,3.60780182,0.83390563,0.82780275
14,28.79878008,28.84379413,3.61547601,3.60780493,0.83228504,0.82780501
16,28.80929825,28.84372442,3.61367670,3.60780651,0.83123429,0.82780611
18,28.81650676,28.84368717,3.61244392,3.60780738,0.83051438,0.82780670
20,28.82166159,28.84366580,3.61156254,3.60780789,0.82999968,0.82780703
